# Time-averaged data for fix printave
# TimeStep v_temp v_etotal v_enthalpy v_density v_press v_vol v_pe
137000 77.0128 -9.18938 -5.21845 1.31088 11931.3 182566 -9.41891
138000 76.8995 -9.18958 -5.21871 1.31089 11931.2 182564 -9.41877
139000 76.9328 -9.18968 -5.21815 1.31073 11931.8 182586 -9.41898
140000 77.12 -9.18816 -5.21774 1.31081 11929.2 182574 -9.41801
141000 77.1612 -9.18799 -5.21747 1.3108 11929.5 182576 -9.41797
142000 77 -9.18941 -5.21913 1.31089 11929.6 182564 -9.4189
143000 76.8745 -9.18926 -5.21925 1.31092 11928.9 182560 -9.41838
144000 76.9588 -9.18955 -5.22001 1.31099 11928.2 182549 -9.41892
145000 77.0486 -9.1895 -5.22017 1.31099 11927.6 182550 -9.41914
146000 76.9651 -9.18988 -5.22046 1.31097 11927.7 182552 -9.41927
147000 76.9498 -9.18924 -5.2202 1.31093 11926.1 182559 -9.41859
148000 77.0609 -9.18847 -5.21965 1.31093 11925.4 182559 -9.41814
149000 77.0913 -9.18878 -5.21952 1.31094 11926.9 182556 -9.41855
150000 76.9463 -9.19062 -5.22204 1.31097 11925.1 182553 -9.41996
151000 77.1124 -9.18904 -5.22146 1.31115 11923.8 182527 -9.41887
152000 76.8542 -9.1904 -5.22241 1.31127 11926.1 182510 -9.41946
153000 76.9955 -9.19002 -5.2226 1.31113 11923.1 182531 -9.4195
154000 77.0476 -9.18944 -5.22226 1.31116 11922.7 182526 -9.41908
155000 77.0216 -9.18926 -5.22225 1.31119 11922.5 182522 -9.41882
156000 77.1213 -9.18916 -5.22188 1.31099 11921.4 182550 -9.41901
157000 77.1288 -9.18814 -5.21962 1.31085 11923.8 182570 -9.41801
158000 77.0547 -9.18801 -5.22063 1.31097 11921.5 182553 -9.41767
159000 77.1061 -9.18725 -5.22074 1.31098 11919 182552 -9.41706
160000 77.1486 -9.18816 -5.22094 1.31096 11920.9 182554 -9.4181
161000 76.8995 -9.19048 -5.22338 1.31083 11919.4 182572 -9.41968
162000 76.9148 -9.19048 -5.22304 1.31078 11920 182579 -9.41972
163000 76.838 -9.18978 -5.22442 1.31131 11918.5 182506 -9.41879
164000 76.9978 -9.18887 -5.2238 1.31123 11916.9 182517 -9.41836
165000 76.8685 -9.18954 -5.22335 1.3111 11919.1 182535 -9.41865
166000 77.02 -9.18818 -5.22264 1.31119 11918 182522 -9.41774
167000 77.0347 -9.18989 -5.2246 1.31107 11916.2 182538 -9.41949
168000 76.9968 -9.1896 -5.22449 1.31105 11915.4 182541 -9.41909
169000 76.9569 -9.18988 -5.22542 1.3113 11915.8 182506 -9.41925
170000 77.0324 -9.19007 -5.22539 1.31119 11915.4 182522 -9.41966
171000 77.038 -9.18921 -5.22542 1.31143 11914.9 182489 -9.41882
172000 77.0391 -9.18986 -5.22504 1.31111 11915.1 182533 -9.41947
173000 77.1208 -9.18925 -5.2256 1.31116 11912.1 182526 -9.4191
174000 77.0979 -9.18941 -5.22472 1.31113 11915 182530 -9.4192
175000 77.0456 -9.18972 -5.22523 1.31099 11913 182549 -9.41935
176000 76.9672 -9.18989 -5.22612 1.31117 11912.5 182525 -9.41928
177000 76.8858 -9.19075 -5.22724 1.31112 11911.3 182531 -9.41991
178000 76.9803 -9.18967 -5.22642 1.31113 11910.6 182530 -9.41911
179000 77.0863 -9.18903 -5.2259 1.31111 11910 182533 -9.41878
180000 76.9417 -9.19043 -5.22662 1.31097 11910.8 182552 -9.41975
181000 77.0908 -9.1898 -5.22731 1.31118 11908.8 182523 -9.41957
182000 77.1985 -9.18799 -5.22482 1.31118 11910.8 182524 -9.41807
183000 76.8807 -9.1892 -5.22716 1.31135 11908.9 182500 -9.41834
184000 77.0619 -9.18885 -5.22662 1.31124 11908.4 182515 -9.41853
185000 77.1598 -9.18862 -5.22616 1.31106 11907.6 182540 -9.41859
186000 77.136 -9.18914 -5.22696 1.31103 11906.4 182544 -9.41904
187000 77.1 -9.19008 -5.22717 1.3109 11907.4 182563 -9.41988
188000 76.8554 -9.19168 -5.22965 1.31095 11905.3 182556 -9.42074
189000 77.0099 -9.19023 -5.22844 1.31108 11905.7 182537 -9.41975
190000 76.9113 -9.19144 -5.22947 1.31106 11906.1 182540 -9.42067
191000 77.11 -9.18898 -5.2278 1.31111 11904.2 182533 -9.4188
192000 76.8367 -9.19123 -5.22988 1.31102 11903.9 182546 -9.42024
193000 76.9841 -9.19034 -5.22828 1.31079 11903.9 182577 -9.41978
194000 76.9199 -9.19024 -5.22818 1.31097 11905.6 182553 -9.4195
195000 76.9964 -9.18971 -5.2294 1.31104 11900.9 182543 -9.41919
196000 76.9278 -9.19038 -5.22948 1.31106 11902.9 182541 -9.41966
197000 77.0154 -9.18882 -5.2288 1.31121 11901.6 182519 -9.41836
198000 77.0154 -9.18969 -5.22907 1.31101 11901.5 182547 -9.41923
199000 76.9704 -9.1903 -5.22996 1.31094 11900.1 182557 -9.41971
200000 76.9851 -9.18987 -5.22937 1.31089 11900.1 182564 -9.41932
201000 77.0207 -9.18967 -5.22978 1.31101 11899.4 182547 -9.41923
202000 76.9645 -9.19012 -5.23004 1.31124 11902.1 182515 -9.41951
203000 77.0504 -9.18982 -5.23144 1.31122 11896.7 182518 -9.41947
204000 77.0077 -9.18923 -5.23116 1.31143 11897.7 182489 -9.41875
205000 77.0128 -9.18929 -5.23048 1.31129 11898.7 182507 -9.41882
206000 76.8465 -9.1905 -5.23166 1.31111 11897.1 182533 -9.41953
207000 76.8927 -9.19037 -5.23186 1.31107 11895.7 182539 -9.41954
208000 77.056 -9.18977 -5.23096 1.31109 11896.9 182536 -9.41943
209000 77.1203 -9.18841 -5.23023 1.31125 11896.4 182513 -9.41826
210000 76.8451 -9.18953 -5.23225 1.31128 11894 182510 -9.41856
211000 76.9823 -9.1895 -5.2319 1.31134 11895.5 182501 -9.41894
212000 76.9612 -9.18961 -5.23263 1.31134 11893.6 182501 -9.41898
213000 76.995 -9.18926 -5.23224 1.3113 11893.4 182507 -9.41874
214000 76.857 -9.18938 -5.232 1.31133 11894.7 182503 -9.41845
215000 76.7672 -9.19135 -5.23397 1.31113 11893 182530 -9.42015
216000 77.0087 -9.18953 -5.23266 1.31115 11891.6 182528 -9.41905
217000 76.9032 -9.19033 -5.23325 1.311 11890.9 182548 -9.41954
218000 77.0609 -9.18954 -5.23223 1.31107 11892.2 182539 -9.41922
219000 77.1086 -9.18851 -5.23131 1.31094 11890.7 182557 -9.41833
220000 76.8007 -9.19011 -5.23424 1.31123 11889.3 182516 -9.41901
221000 77.1157 -9.18765 -5.23106 1.3112 11891.2 182520 -9.41749
222000 77.1524 -9.18889 -5.2332 1.31121 11888.5 182519 -9.41883
223000 77.1019 -9.18815 -5.23314 1.31138 11888 182496 -9.41794
224000 76.9745 -9.18842 -5.233 1.31144 11889.9 182487 -9.41783
225000 77.1918 -9.18781 -5.23274 1.3111 11885.7 182535 -9.41787
226000 77.0447 -9.18862 -5.23307 1.31119 11888 182522 -9.41824
227000 76.9427 -9.18955 -5.23461 1.31122 11886.4 182518 -9.41887
228000 76.9715 -9.18949 -5.23398 1.311 11886.1 182549 -9.4189
229000 76.8145 -9.19067 -5.23539 1.31095 11885 182555 -9.41961
230000 77.1398 -9.18786 -5.23213 1.31092 11886 182560 -9.41777
231000 77.0845 -9.1893 -5.2343 1.31107 11885.2 182538 -9.41904
232000 76.9576 -9.19009 -5.23594 1.31121 11884 182519 -9.41946
233000 77.0803 -9.18885 -5.23479 1.3112 11883.6 182521 -9.41859
234000 76.998 -9.18923 -5.23591 1.31148 11883.9 182481 -9.41872
235000 76.8117 -9.19016 -5.23646 1.3112 11882.5 182521 -9.41909
236000 76.9488 -9.18948 -5.236 1.3111 11881 182534 -9.41882
237000 76.9483 -9.1893 -5.23528 1.31119 11883.4 182522 -9.41864
238000 76.8414 -9.1899 -5.23673 1.31126 11881.4 182512 -9.41892
239000 76.9987 -9.18801 -5.23481 1.31101 11879.3 182547 -9.4175
240000 76.9464 -9.19 -5.23607 1.31085 11880 182569 -9.41933
241000 77.043 -9.18918 -5.2351 1.3109 11880.9 182562 -9.4188
242000 77.0368 -9.18917 -5.23562 1.31094 11879.7 182556 -9.41877
243000 76.9762 -9.19101 -5.23724 1.31081 11879.2 182574 -9.42043
244000 76.8877 -9.19123 -5.23869 1.31102 11877.4 182546 -9.42039
245000 76.8724 -9.19092 -5.23749 1.31083 11878.3 182573 -9.42003
246000 77.1027 -9.19043 -5.23769 1.31084 11876.4 182570 -9.42023
247000 76.8848 -9.19172 -5.23859 1.31087 11877.8 182567 -9.42087
