LAMMPS data file via write_data, version 3 Mar 2020, timestep = 4400000

8000 atoms
1 atom types

7.5475954731316719e-01 6.4245240452689231e+01 xlo xhi
7.5475954731316719e-01 6.4245240452689231e+01 ylo yhi
7.5475954731316719e-01 6.4245240452689231e+01 zlo zhi

Masses

1 18.0153

Atoms # atomic

1098 1 1.0049808043985715e+01 9.2018313100239641e+00 1.5260999553751762e+00 0 4 -3
1955 1 7.8182316589187382e+00 1.2412046070040201e+00 1.1137701283744654e+01 0 -1 -1
7473 1 5.0068561746712907e+00 1.5757202350731264e+01 6.9860209317903381e+00 -1 2 2
3076 1 1.4438534435625220e+01 3.7395803033535420e+00 1.3399616333744287e+01 0 0 3
6131 1 1.3170843350838165e+01 1.4044055978206925e+01 1.3221755331340297e+01 4 -2 5
2985 1 4.6683475847750557e+00 9.0680844338741569e+00 5.6593267435419730e+00 1 3 3
1179 1 5.1637117411313644e+00 5.5562451464497595e+00 1.1815720161702163e+01 4 -4 1
1570 1 8.1310489814194540e+00 7.8198001301530313e+00 1.4056699999292212e+01 3 -1 5
1815 1 9.3846967841515454e+00 9.4318193187080563e+00 5.6324929092833900e+00 0 -1 0
5671 1 1.0694942541420804e+00 1.4129055192167801e+00 2.8390514513041745e+00 2 -1 -4
7978 1 1.3245390812215717e+01 1.4440825416427581e+01 5.1306655101326175e+00 -3 -4 5
2791 1 1.4596070431364877e+01 6.3520100304525169e+00 1.2317859433383436e+01 -2 0 -1
6661 1 1.5520722231250728e+01 6.9329893659679369e+00 4.2317399814776602e+00 -4 2 2
2260 1 1.0336519522718843e+01 2.5063172998520438e+00 7.8868512107914315e+00 -1 3 0
7119 1 7.3985326739568364e+00 1.2091967060636932e+01 7.9907569686332343e+00 1 -3 0
5525 1 1.4763563361897531e+00 1.5142378116694095e+01 1.2728793053742958e+01 -1 0 1
5189 1 9.1772306441044567e+00 1.5624520548118099e+01 1.1021526526503141e+01 1 -5 -1
1806 1 1.1675766280221007e+01 8.8375006076154357e+00 9.5668193980170280e+00 1 2 3
3821 1 1.2104470822778497e+01 7.2164005139356746e+00 1.1735197046639513e+01 -1 4 4
2100 1 1.6401059897244188e+01 8.6679215573746724e+00 9.1723444399330027e+00 2 -4 6
7442 1 1.0951663928610429e+01 1.3110517798573225e+01 5.0962166791015022e+00 3 1 2
5201 1 5.3938630156831051e+00 1.3742186049285079e+01 1.3039712441173005e+01 -2 1 2
6013 1 1.4846144501485542e+01 1.3149184957618727e+01 6.8632846316818181e+00 3 -1 2
5897 1 1.0015764858739020e+01 1.4577318989579279e+01 2.9006731031983812e+00 -1 5 2
6059 1 1.2753292003660089e+01 2.3690215536994867e+00 4.6222973371960094e+00 2 -1 -2
4401 1 6.8748765151885065e+00 1.0784412078854476e+01 5.6021945736889061e+00 2 -6 1
4228 1 7.2990238681828536e+00 5.3346861555378284e+00 1.3390567386924999e+01 6 7 -1
5858 1 1.1830868323738681e+01 1.0603055127010487e+01 4.7795377235537160e+00 2 -2 -1
1032 1 1.1687815816090661e+00 1.3927359570553701e+01 1.0350446433430319e+01 1 -1 4
2080 1 1.4711795531552433e+01 1.4479998805848355e+01 9.2419239644530915e+00 -2 -2 6
221 1 1.3979779382569115e+01 2.4502103535466757e+00 1.1021974535115559e+01 2 5 4
7314 1 1.6245990876033414e+01 2.5414476066217961e+00 7.0925892511849851e+00 -3 -3 2
5148 1 1.5374094886731703e+01 8.7542631927100931e+00 1.3294965660351066e+01 4 2 -1
6933 1 3.1272456501447392e+00 1.2779487887372817e+01 8.8932014983515533e+00 -2 -2 -6
