# Time-averaged data for fix printave
# TimeStep v_temp v_etotal v_enthalpy v_density v_press v_vol v_pe
167000 77.1409 -9.6639 -9.62512 0.935505 83.1957 255820 -9.89381
168000 76.9931 -9.66462 -9.6256 0.935574 83.7084 255801 -9.8941
169000 77.0721 -9.66423 -9.62499 0.935592 84.158 255796 -9.89393
170000 76.8947 -9.66559 -9.62574 0.935712 85.4928 255763 -9.89477
171000 76.9319 -9.66519 -9.62613 0.935717 83.8497 255762 -9.89449
172000 77.0224 -9.66492 -9.62486 0.935708 85.9363 255765 -9.89448
173000 76.9315 -9.66541 -9.62504 0.935771 86.6469 255748 -9.8947
174000 77.0732 -9.66451 -9.624 0.935693 86.9051 255769 -9.89422
175000 76.9691 -9.66488 -9.62438 0.935711 86.9159 255764 -9.89428
176000 77.0383 -9.66483 -9.62398 0.935813 87.6384 255736 -9.89444
177000 76.9639 -9.66509 -9.62425 0.935787 87.6553 255743 -9.89447
178000 77.1632 -9.66356 -9.62166 0.935769 89.912 255748 -9.89354
179000 77.0436 -9.66454 -9.62323 0.935722 88.6487 255761 -9.89416
180000 76.9801 -9.66501 -9.62354 0.935796 88.9928 255740 -9.89445
181000 76.9685 -9.6654 -9.62287 0.935881 91.2909 255717 -9.8948
182000 77.0171 -9.66485 -9.62273 0.93598 90.3903 255690 -9.89439
183000 77.0865 -9.66452 -9.62171 0.93593 91.8676 255704 -9.89427
184000 76.9753 -9.66503 -9.62232 0.935799 91.6485 255740 -9.89445
185000 77.0236 -9.6646 -9.622 0.935859 91.4161 255723 -9.89416
186000 77.0304 -9.66464 -9.62109 0.935882 93.4742 255717 -9.89423
187000 76.8437 -9.66566 -9.62246 0.935883 92.7387 255717 -9.89468
188000 77.0154 -9.66494 -9.62143 0.935851 93.3783 255725 -9.89448
189000 76.9389 -9.66567 -9.62165 0.935862 94.5027 255722 -9.89499
190000 77.0621 -9.66437 -9.62048 0.935803 94.1816 255739 -9.89405
191000 76.9418 -9.66495 -9.62043 0.935754 95.5455 255752 -9.89427
192000 76.9435 -9.66487 -9.62 0.93581 96.2603 255737 -9.89419
193000 77.0478 -9.66426 -9.61936 0.935804 96.3603 255738 -9.89389
194000 77.0118 -9.66466 -9.61959 0.93577 96.7033 255748 -9.89419
195000 77.0447 -9.66406 -9.61902 0.935693 96.6545 255769 -9.89369
196000 76.8367 -9.66569 -9.61986 0.935605 98.3385 255793 -9.8947
197000 77.206 -9.66342 -9.61782 0.935519 97.8648 255816 -9.89353
198000 77.0908 -9.66438 -9.61855 0.935665 98.3446 255776 -9.89415
199000 77.0398 -9.66474 -9.61835 0.935603 99.533 255793 -9.89436
200000 77.0719 -9.66459 -9.6183 0.935574 99.3163 255801 -9.8943
201000 77.0237 -9.66495 -9.61787 0.935656 101.002 255779 -9.89452
202000 77.1422 -9.66369 -9.61702 0.935648 100.146 255781 -9.89361
203000 77.0244 -9.66464 -9.61726 0.935771 101.655 255747 -9.89421
204000 76.8442 -9.66606 -9.61869 0.935779 101.683 255745 -9.89509
205000 77.0094 -9.66496 -9.61726 0.935694 102.328 255768 -9.89448
